title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
Customer Relationship,IDEAFUL,,"₹ 5,500 - 7,000 /month",https://internshala.com/internship/detail/customer-relationship-internship-in-thiruvananthapuram-at-ideaful1786000495,Data Analyst,"Effective Communication, Malayalam Proficiency (Spoken), Certificate, Letter of recommendation",effective communication malayalam proficiency spoken certificate letter of recommendation,[]
Supply Chain Management (SCM),Ankura Group Of Hospitals,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/supply-chain-management-scm-internship-in-hyderabad-at-ankura-group-of-hospitals1786712853,Data Analyst,"MS-Office, Letter of recommendation",ms office letter of recommendation,[]
Channel Partner Operations,ClearTax,,"₹ 30,000 /month",https://internshala.com/internship/detail/channel-partner-operations-internship-in-bangalore-at-cleartax1785494724,Data Analyst,"Collaboration, Effective Communication, MS-Excel, Stakeholder Management, Time Management, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",collaboration effective communication ms excel stakeholder management time management certificate letter of recommendation informal dress code 5 days a week free snacks beverages,['excel']
Client Servicing,Medius Technologies Private Limited,,"₹ 9,500 - 10,000 /month",https://internshala.com/internship/detail/client-servicing-internship-in-multiple-locations-at-medius-technologies-private-limited1785763037,Data Analyst,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",english proficiency spoken certificate letter of recommendation flexible work hours,[]
Operations,Nkars Mobility Millenium Solutions,,"₹ 20,000 /month",https://internshala.com/internship/detail/operations-internship-in-bangalore-at-nkars-mobility-millenium-solutions1784526791,Data Analyst,"MS-Excel, SQL, Certificate, Letter of recommendation, 5 days a week",ms excel sql certificate letter of recommendation 5 days a week,"['excel', 'sql']"
Data Entry,3AG Networks Solutions Private Limited,,"₹ 10,000 - 11,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-bangalore-at-3ag-networks-solutions-private-limited1786084240,Data Analyst,"MS-Excel, MS-Office",ms excel ms office,['excel']
Field Sales,Metnmat Research,,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/field-sales-internship-in-mumbai-at-metnmat-research1784529050,Data Analyst,"Attention to Detail, Client Interaction, Client Relationship Management (CRM), Effective Communication, Lead Generation, Negotiations, Problem Solving, Sales Management, Sales Strategy, Time Management, Certificate",attention to detail client interaction client relationship management crm effective communication lead generation negotiations problem solving sales management sales strategy time management certificate,['problem solving']
Pre Sales,Reflex Realty LLP,,"₹ 4,000 - 7,000 /month",https://internshala.com/internship/detail/pre-sales-internship-in-mumbai-at-reflex-realty-llp1785905318,Data Analyst,"Effective Communication, English Proficiency (Written), Certificate",effective communication english proficiency written certificate,[]
Operations,ROOTBUZZ Private Limited,,"₹ 6,500 - 10,500 /month",https://internshala.com/internship/detail/operations-internship-in-mumbai-at-rootbuzz-private-limited1786085229,Data Analyst,"MS-Office, Operations, Certificate, Flexible work hours, Informal dress code",ms office operations certificate flexible work hours informal dress code,[]
Operations,CircleChess,,"₹ 12,500 - 20,000 /month",https://internshala.com/internship/detail/operations-internship-in-bangalore-at-circlechess1783327946,Data Analyst,"Client Relationship, Client Relationship Management (CRM), Customer Support, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",client relationship client relationship management crm customer support certificate letter of recommendation flexible work hours informal dress code,[]
E-Commerce Business Management,Ria Goel,,"₹ 5,000 /month",https://internshala.com/internship/detail/part-time-e-commerce-business-management-internship-in-mumbai-at-ria-goel1786076905,Data Analyst,"Canva, Digital Marketing, Effective Communication, Generative AI Tools, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",canva digital marketing effective communication generative ai tools social media marketing certificate letter of recommendation informal dress code,[]
Business Development (Sales),Indiacharts Data Analytics Private Limited,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-indiacharts-data-analytics-private-limited1785740436,Data Analyst,"Effective Communication, MS-Excel, Sales, Stock Trading",effective communication ms excel sales stock trading,['excel']
Operations,Hasiru Dala Innovations Private Limited,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/operations-internship-in-bangalore-at-hasiru-dala-innovations-private-limited1784030903,Data Analyst,"Data Extraction, Data Preparation, Google Sheets, MS-Excel, Certificate, Flexible work hours",data extraction data preparation google sheets ms excel certificate flexible work hours,"['excel', 'google sheets']"
Project Management,JioStar,,"₹ 15,000 - 18,000 /month",https://internshala.com/internship/detail/project-management-internship-in-mumbai-at-jiostar1786347935,Data Analyst,"Administrative Support, Content Management, Coordination, Effective Communication, Interpersonal skills, Stakeholder Management, Certificate, Informal dress code, 5 days a week",administrative support content management coordination effective communication interpersonal skills stakeholder management certificate informal dress code 5 days a week,[]
Operations,EisnerAmper India,,"₹ 30,000 - 40,000 /month",https://internshala.com/internship/detail/operations-internship-in-mumbai-at-eisneramper-india1785782610,Data Analyst,"Effective Communication, Event Management, Certificate, Letter of recommendation",effective communication event management certificate letter of recommendation,[]
Customer Service/Customer Support,Medius Technologies Private Limited,,"₹ 9,500 - 10,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-multiple-locations-at-medius-technologies-private-limited1785762021,Data Analyst,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Informal dress code",english proficiency spoken certificate letter of recommendation flexible work hours informal dress code,[]
Administration,Kirty Holiday,,"₹ 6,100 - 7,000 /month",https://internshala.com/internship/detail/part-time-administration-internship-in-nashik-at-kirty-holiday1784616559,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word",english proficiency spoken english proficiency written ms excel ms office ms powerpoint ms word,['excel']
Operations,Luxury LAP,,"₹ 8,000 - 14,000 /month",https://internshala.com/internship/detail/part-time-operations-internship-in-delhi-at-luxury-lap1785475110,Data Analyst,"Client Interaction, Computer skills, MS-Excel, Order Management, Certificate, Informal dress code",client interaction computer skills ms excel order management certificate informal dress code,['excel']
WordPress Development,ViralChilly,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/wordpress-development-internship-in-jaipur-at-viralchilly1786532507,Web Developer,"CSS, HTML, JavaScript, WordPress, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",css html javascript wordpress certificate letter of recommendation informal dress code 5 days a week free snacks beverages,"['css', 'html', 'javascript', 'wordpress']"
